trend; pattern; quantile; daysRet; mean; SE; t; paval
50;hammer;260;60;-0,000506899;0,00454615;-7,23282;4,58345e-013;***
50;piercing_lines;30;5;-0,0125589;0,00149722;-10,2631;1,01732e-023;***
50;piercing_lines;30;10;-0,0196034;0,00188199;-13,3397;2,11331e-037;***
50;piercing_lines;30;15;-0,0144143;0,00247348;-9,12765;2,3464e-019;***
50;piercing_lines;30;20;-0,0111573;0,0032491;-6,76722;1,19808e-011;***
50;piercing_lines;30;40;-0,00320088;0,00489053;-5,06208;2,52591e-007;***
50;piercing_lines;30;60;0,00612173;0,00587086;-4,47173;4,38757e-006;***
50;piercing_lines;60;5;-0,0134231;0,00140275;-11,5704;1,69897e-029;***
50;piercing_lines;60;10;-0,0203661;0,00179383;-14,4205;2,23273e-043;***
50;piercing_lines;60;15;-0,0158685;0,0023149;-10,3811;2,21669e-024;***
50;piercing_lines;60;20;-0,0106296;0,00295933;-7,25151;4,04274e-013;***
50;piercing_lines;60;40;-0,0032277;0,00447476;-5,53841;1,93701e-008;***
50;piercing_lines;60;60;0,00668598;0,00532723;-4,82214;8,17072e-007;***
50;piercing_lines;130;5;-0,0129813;0,00143562;-10,9978;5,15811e-027;***
50;piercing_lines;130;10;-0,0211065;0,00182618;-14,5704;2,92227e-044;***
50;piercing_lines;130;15;-0,0158703;0,00233157;-10,3077;4,16985e-024;***
50;piercing_lines;130;20;-0,00997057;0,0029548;-7,03959;1,73213e-012;***
50;piercing_lines;130;40;-0,000741361;0,00449005;-4,96582;3,986e-007;***
50;piercing_lines;130;60;0,0106661;0,00541941;-4,0057;3,30809e-005;***
50;piercing_lines;260;5;-0,0131399;0,0013662;-11,6727;4,21575e-030;***
50;piercing_lines;260;10;-0,0205452;0,00176035;-14,7964;1,05068e-045;***
50;piercing_lines;260;15;-0,0146184;0,00223138;-10,2095;9,10268e-024;***
50;piercing_lines;260;20;-0,00973295;0,00258206;-7,96377;2,02638e-015;***
50;piercing_lines;260;40;-0,00167128;0,00375422;-6,18682;4,28804e-010;***
50;piercing_lines;260;60;0,0116817;0,00460838;-4,49029;3,9219e-006;***
50;rising_three;30;5;0,0213884;0,0163632;1,13554;0,146764; 
50;rising_three;30;10;0,0227922;0,0164404;1,05171;0,16394; 
50;rising_three;30;15;0,0127121;0,0141649;0,321165;0,378731; 
50;rising_three;30;20;0,00171876;0,0134714;-0,676337;0,26027; 
50;rising_three;30;40;0,0128051;0,0223301;-0,39186;0,353409; 
50;rising_three;30;60;0,0520574;0,045949;0,428361;0,34063; 
50;rising_three;60;5;0,0267006;0,0167762;1,42424;0,0881414;*
50;rising_three;60;10;0,0195803;0,0145495;0,967638;0,174822; 
50;rising_three;60;15;0,0211972;0,0113686;1,14652;0,135398; 
50;rising_three;60;20;0,0232849;0,0145174;0,857927;0,202691; 
50;rising_three;60;40;0,0595386;0,031365;1,21101;0,12297; 
50;rising_three;60;60;0,100797;0,0357912;1,91173;0,0382995;**
50;rising_three;130;5;0,0248407;0,017742;1,24188;0,118111; 
50;rising_three;130;10;0,0144407;0,0165714;0,539427;0,299355; 
50;rising_three;130;15;0,0127205;0,0107677;0,42327;0,339508; 
50;rising_three;130;20;0,00853441;0,0196361;-0,116906;0,454361; 
50;rising_three;130;40;0,0474981;0,0392245;0,661389;0,259957; 
50;rising_three;130;60;0,0466137;0,04773;0,298326;0,385085; 
50;rising_three;260;5;0,0155675;0,0126926;1,00533;0,16817; 
50;rising_three;260;10;0,00818842;0,0158162;0,169873;0,434097; 
50;rising_three;260;15;0,0224737;0,0131646;1,08707;0,150126; 
50;rising_three;260;20;0,0158529;0,0163707;0,306822;0,382355; 
50;rising_three;260;40;0,0489345;0,0295467;0,926636;0,187; 
50;rising_three;260;60;0,0453237;0,0398181;0,325205;0,375564; 
50;morning_star;30;5;0,00166088;0,00285911;-0,400968;0,344456; 
50;morning_star;30;10;-0,00129278;0,00403316;-1,68465;0,0468807;**
50;morning_star;30;15;-0,00289991;0,00542014;-2,04104;0,0213413;**
50;morning_star;30;20;0,00101164;0,00594708;-1,65095;0,0502316;*
50;morning_star;30;40;0,000684445;0,00883644;-2,36192;0,00961565;***
50;morning_star;30;60;0,00957506;0,0110814;-2,05746;0,0205299;**
50;morning_star;60;5;0,00090064;0,00248635;-0,766845;0,221927; 
50;morning_star;60;10;-0,00010572;0,00354852;-1,5802;0,0576245;*
50;morning_star;60;15;0,000113006;0,00410653;-1,96025;0,0255052;**
50;morning_star;60;20;0,000905937;0,00473929;-2,094;0,0186034;**
50;morning_star;60;40;0,00336994;0,00712842;-2,55112;0,00564906;***
50;morning_star;60;60;0,0148764;0,0091344;-1,91563;0,0282419;**
50;morning_star;130;5;0,00401783;0,00252892;0,478678;0,316273; 
50;morning_star;130;10;0,00466718;0,00337044;-0,247587;0,402319; 
50;morning_star;130;15;0,0047639;0,00388786;-0,874244;0,191371; 
50;morning_star;130;20;0,00669635;0,00471429;-0,876832;0,190669; 
50;morning_star;130;40;0,0129235;0,00701144;-1,23111;0,109663; 
50;morning_star;130;60;0,0245467;0,00903411;-0,866479;0,193489; 
50;morning_star;260;5;0,00310253;0,00248067;0,119018;0,45267; 
50;morning_star;260;10;0,00222453;0,00329494;-0,994596;0,160361; 
50;morning_star;260;15;0,00340032;0,00390703;-1,21896;0,111901; 
50;morning_star;260;20;0,00468307;0,00462264;-1,32974;0,0922984;*
50;morning_star;260;40;0,0095442;0,00654536;-1,83507;0,0337345;**
50;morning_star;260;60;0,020979;0,00845773;-1,34737;0,0894311;*
50;dark_cloud_cover;30;5;-0,0184037;0,00120794;-17,5596;1,2761e-061;***
50;dark_cloud_cover;30;10;-0,0260753;0,00164448;-19,2018;8,98238e-072;***
50;dark_cloud_cover;30;15;-0,0285803;0,00214592;-17,1223;5,29683e-059;***
50;dark_cloud_cover;30;20;-0,0281182;0,00247717;-15,7229;6,80135e-051;***
50;dark_cloud_cover;30;40;-0,0404677;0,00359405;-17,2571;8,33536e-060;***
50;dark_cloud_cover;30;60;-0,0607106;0,0123606;-7,53082;5,09063e-014;***
50;dark_cloud_cover;60;5;-0,0183396;0,00114446;-18,4776;6,10734e-068;***
50;dark_cloud_cover;60;10;-0,0254417;0,00158348;-19,5413;8,79828e-075;***
50;dark_cloud_cover;60;15;-0,0280419;0,00204158;-17,7337;2,75698e-063;***
50;dark_cloud_cover;60;20;-0,027138;0,0023263;-16,3212;9,07229e-055;***
50;dark_cloud_cover;60;40;-0,038;0,00330102;-18,0415;3,37067e-065;***
50;dark_cloud_cover;60;60;-0,0544799;0,0112571;-7,71556;1,2191e-014;***
50;dark_cloud_cover;130;5;-0,0175465;0,00109791;-18,5387;1,16161e-068;***
50;dark_cloud_cover;130;10;-0,0244176;0,001512;-19,7879;8,1898e-077;***
50;dark_cloud_cover;130;15;-0,0264094;0,00189858;-18,2096;1,45101e-066;***
50;dark_cloud_cover;130;20;-0,0254313;0,0021955;-16,5161;3,84449e-056;***
50;dark_cloud_cover;130;40;-0,0378769;0,00316425;-18,7824;3,14735e-070;***
50;dark_cloud_cover;130;60;-0,0552617;0,0107684;-8,13828;4,59516e-016;***
50;dark_cloud_cover;260;5;-0,0176886;0,00105898;-19,3544;1,00893e-074;***
50;dark_cloud_cover;260;10;-0,0258732;0,0014462;-21,6947;6,40893e-091;***
50;dark_cloud_cover;260;15;-0,0277022;0,00183312;-19,5651;3,87494e-076;***
50;dark_cloud_cover;260;20;-0,0264768;0,00209262;-17,8277;9,66329e-065;***
50;dark_cloud_cover;260;40;-0,0387135;0,00301724;-19,9749;6,44994e-079;***
50;dark_cloud_cover;260;60;-0,055134;0,00982226;-8,90922;7,52132e-019;***
50;falling_three;30;5;0,0097719;0,0117377;0,593352;0,292435; 
50;falling_three;30;10;0,0296168;0,00950913;2,536;0,0321267;**
50;falling_three;30;15;0,00796893;0,0165415;-0,0117226;0,495604; 
50;falling_three;30;20;-0,0100399;0,0247814;-0,84216;0,223553; 
50;falling_three;30;40;-0,00049195;0,043017;-0,512526;0,317643; 
50;falling_three;30;60;-0,0348764;0,0568664;-1,18261;0,151228; 
50;falling_three;60;5;0,0090334;0,0165668;0,375819;0,366026; 
50;falling_three;60;10;0,0226647;0,00917512;1,8706;0,0790794;*
50;falling_three;60;15;0,0169344;0,0196591;0,446181;0,342852; 
50;falling_three;60;20;0,00112447;0,0312882;-0,310198;0,388356; 
50;falling_three;60;40;0,0407741;0,0171802;1,11865;0,172394; 
50;falling_three;60;60;0,0197442;0,0223779;-0,564415;0,305959; 
50;falling_three;130;5;-0,0205498;0;NA;NA;***
50;falling_three;130;10;0,0376301;0;NA;NA;***
50;falling_three;130;15;-0,0013344;0;NA;NA;***
50;falling_three;130;20;-0,0404323;0;NA;NA;***
50;falling_three;130;40;0,0213504;0;NA;NA;***
50;falling_three;130;60;-0,0238858;0;NA;NA;***
50;falling_three;260;5;-0,0102543;0,0229994;-0,567908;0,304911; 
50;falling_three;260;10;0,0177597;0,0422763;0,289951;0,39537; 
50;falling_three;260;15;0,0129457;0,0342107;0,139806;0,448836; 
50;falling_three;260;20;-0,00422203;0,0276573;-0,544233;0,312062; 
50;falling_three;260;40;0,0475487;0,0501067;0,518759;0,319883; 
50;falling_three;260;60;0,0735206;0,0609445;0,675139;0,273983; 
50;evening_star;30;5;-0,00406486;0,00359051;-1,91398;0,0286229;**
50;evening_star;30;10;-0,00957432;0,00480009;-3,14077;0,000988473;***
50;evening_star;30;15;-0,0127846;0,0056399;-3,71416;0,000136757;***
50;evening_star;30;20;-0,00919653;0,00602007;-3,32663;0,00053505;***
50;evening_star;30;40;-0,02647;0,00948671;-5,06238;5,18507e-007;***
50;evening_star;30;60;-0,038355;0,0118727;-5,95733;6,8141e-009;***
50;evening_star;60;5;-0,00279728;0,00311324;-1,80023;0,0365502;**
50;evening_star;60;10;-0,00780284;0,00405788;-3,27868;0,000600127;***
50;evening_star;60;15;-0,0114661;0,0047118;-4,16591;2,17627e-005;***
50;evening_star;60;20;-0,0103987;0,0050876;-4,17264;2,11728e-005;***
50;evening_star;60;40;-0,0248939;0,00770203;-6,03078;3,12483e-009;***
50;evening_star;60;60;-0,0274526;0,00928465;-6,44367;3,2466e-010;***
50;evening_star;130;5;-0,00178204;0,00302151;-1,51888;0,0650457;*
50;evening_star;130;10;-0,00610528;0,00403763;-2,87469;0,00220134;***
50;evening_star;130;15;-0,00953249;0,00482658;-3,66623;0,000151169;***
50;evening_star;130;20;-0,0087625;0,00525978;-3,72496;0,000121459;***
50;evening_star;130;40;-0,0235597;0,00813759;-5,54403;3,84369e-008;***
50;evening_star;130;60;-0,0313536;0,00976206;-6,52815;1,92586e-010;***
50;evening_star;260;5;0,000194776;0,00297968;-0,876775;0,19069; 
50;evening_star;260;10;-0,00550378;0,0039497;-2,7864;0,00285171;***
50;evening_star;260;15;-0,00979709;0,00483001;-3,7184;0,000121645;***
50;evening_star;260;20;-0,00771257;0,00483465;-3,83535;7,78834e-005;***
50;evening_star;260;40;-0,0176224;0,00768248;-5,09963;3,18671e-007;***
50;evening_star;260;60;-0,0239219;0,00959399;-5,86789;6,37547e-009;***
