trend; pattern; quantile; daysRet; mean; SE; t; paval
15;morning_star;130;10;0,00466718;0,00337044;-0,247587;0,402319; 
15;morning_star;130;15;0,0047639;0,00388786;-0,874244;0,191371; 
15;morning_star;130;20;0,00669635;0,00471429;-0,876832;0,190669; 
15;morning_star;130;40;0,0129235;0,00701144;-1,23111;0,109663; 
15;morning_star;130;60;0,0245467;0,00903411;-0,866479;0,193489; 
15;morning_star;260;5;0,00310253;0,00248067;0,119018;0,45267; 
15;morning_star;260;10;0,00222453;0,00329494;-0,994596;0,160361; 
15;morning_star;260;15;0,00340032;0,00390703;-1,21896;0,111901; 
15;morning_star;260;20;0,00468307;0,00462264;-1,32974;0,0922984;*
15;morning_star;260;40;0,0095442;0,00654536;-1,83507;0,0337345;**
15;morning_star;260;60;0,020979;0,00845773;-1,34737;0,0894311;*
15;dark_cloud_cover;30;5;-0,00482079;0,0012184;-6,26072;2,62748e-010;***
15;dark_cloud_cover;30;10;-0,00580765;0,00167864;-6,7372;1,22797e-011;***
15;dark_cloud_cover;30;15;-0,00830941;0,00214283;-7,68715;1,51328e-014;***
15;dark_cloud_cover;30;20;-0,0122722;0,00239006;-9,66594;1,1478e-021;***
15;dark_cloud_cover;30;40;-0,0242092;0,00344554;-13,2823;4,61811e-038;***
15;dark_cloud_cover;30;60;-0,0357558;0,0047447;-14,3593;1,0658e-043;***
15;dark_cloud_cover;60;5;-0,00449723;0,00116364;-6,27731;2,30469e-010;***
15;dark_cloud_cover;60;10;-0,00468787;0,00164637;-6,18909;3,98609e-010;***
15;dark_cloud_cover;60;15;-0,00746213;0,00206731;-7,55812;3,71823e-014;***
15;dark_cloud_cover;60;20;-0,0107124;0,00227534;-9,46776;5,99026e-021;***
15;dark_cloud_cover;60;40;-0,0220816;0,00320765;-13,604;6,17543e-040;***
15;dark_cloud_cover;60;60;-0,0315744;0,00437063;-14,6315;1,82881e-045;***
15;dark_cloud_cover;130;5;-0,00341136;0,0011286;-5,51007;2,12519e-008;***
15;dark_cloud_cover;130;10;-0,00340756;0,00162061;-5,49744;2,27974e-008;***
15;dark_cloud_cover;130;15;-0,00602074;0,00199833;-7,0977;9,96632e-013;***
15;dark_cloud_cover;130;20;-0,00870831;0,00222511;-8,78083;2,27788e-018;***
15;dark_cloud_cover;130;40;-0,0219324;0,00312345;-13,923;1,03337e-041;***
15;dark_cloud_cover;130;60;-0,032033;0,00423781;-15,1983;9,16671e-049;***
15;dark_cloud_cover;260;5;-0,0028774;0,00110766;-5,13216;1,60985e-007;***
15;dark_cloud_cover;260;10;-0,00477585;0,00152862;-6,72338;1,23723e-011;***
15;dark_cloud_cover;260;15;-0,00833103;0,00189374;-8,70969;3,77494e-018;***
15;dark_cloud_cover;260;20;-0,0102835;0,0021022;-10,0435;2,37759e-023;***
15;dark_cloud_cover;260;40;-0,0210399;0,00296456;-14,3682;2,18833e-044;***
15;dark_cloud_cover;260;60;-0,0306031;0,00389192;-16,1817;6,60381e-055;***
15;falling_three;30;5;0,0097719;0,0117377;0,593352;0,292435; 
15;falling_three;30;10;0,0296168;0,00950913;2,536;0,0321267;**
15;falling_three;30;15;0,00796893;0,0165415;-0,0117226;0,495604; 
15;falling_three;30;20;-0,0100399;0,0247814;-0,84216;0,223553; 
15;falling_three;30;40;-0,00049195;0,043017;-0,512526;0,317643; 
15;falling_three;30;60;-0,0348764;0,0568664;-1,18261;0,151228; 
15;falling_three;60;5;-0,00667505;0,0195955;-0,483903;0,326877; 
15;falling_three;60;10;0,00761472;0,0163888;0,128933;0,451817; 
15;falling_three;60;15;-0,00841278;0,0289088;-0,573376;0,298543; 
15;falling_three;60;20;-0,0207394;0,0311047;-1,01494;0,183768; 
15;falling_three;60;40;5,05e-006;0,0425405;-0,506584;0,319547; 
15;falling_three;60;60;-0,0339876;0,0560133;-1,18476;0,150848; 
15;falling_three;130;5;-0,0371751;0,0166253;-2,40491;0,0689984;*
15;falling_three;130;10;4,745e-005;0,0375826;-0,145126;0,448958; 
15;falling_three;130;15;-0,0428943;0,0415599;-1,22852;0,172098; 
15;falling_three;130;20;-0,0633816;0,0229493;-3,23372;0,0418933;**
15;falling_three;130;40;-0,0504758;0,0718262;-1,00285;0,210776; 
15;falling_three;130;60;-0,109534;0,0856486;-1,65687;0,119696; 
15;falling_three;260;5;-0,0394274;0,00985933;-4,28373;0,0116875;**
15;falling_three;260;10;-0,0210849;0,0302885;-0,877776;0,222343; 
15;falling_three;260;15;-0,0412176;0,0240531;-2,05297;0,0661928;*
15;falling_three;260;20;-0,0496978;0,0190474;-3,17774;0,0250905;**
15;falling_three;260;40;0,0144885;0,0770715;-0,0916931;0,466361; 
15;falling_three;260;60;-0,0111296;0,110131;-0,395024;0,359618; 
15;evening_star;30;5;-0,00406486;0,00359051;-1,91398;0,0286229;**
15;evening_star;30;10;-0,00957432;0,00480009;-3,14077;0,000988473;***
15;evening_star;30;15;-0,0127846;0,0056399;-3,71416;0,000136757;***
15;evening_star;30;20;-0,00919653;0,00602007;-3,32663;0,00053505;***
15;evening_star;30;40;-0,02647;0,00948671;-5,06238;5,18507e-007;***
15;evening_star;30;60;-0,038355;0,0118727;-5,95733;6,8141e-009;***
15;evening_star;60;5;-0,00279728;0,00311324;-1,80023;0,0365502;**
15;evening_star;60;10;-0,00780284;0,00405788;-3,27868;0,000600127;***
15;evening_star;60;15;-0,0114661;0,0047118;-4,16591;2,17627e-005;***
15;evening_star;60;20;-0,0103987;0,0050876;-4,17264;2,11728e-005;***
15;evening_star;60;40;-0,0248939;0,00770203;-6,03078;3,12483e-009;***
15;evening_star;60;60;-0,0274526;0,00928465;-6,44367;3,2466e-010;***
15;evening_star;130;5;-0,00178204;0,00302151;-1,51888;0,0650457;*
15;evening_star;130;10;-0,00610528;0,00403763;-2,87469;0,00220134;***
15;evening_star;130;15;-0,00953249;0,00482658;-3,66623;0,000151169;***
15;evening_star;130;20;-0,0087625;0,00525978;-3,72496;0,000121459;***
15;evening_star;130;40;-0,0235597;0,00813759;-5,54403;3,84369e-008;***
15;evening_star;130;60;-0,0313536;0,00976206;-6,52815;1,92586e-010;***
15;evening_star;260;5;0,000194776;0,00297968;-0,876775;0,19069; 
15;evening_star;260;10;-0,00550378;0,0039497;-2,7864;0,00285171;***
15;evening_star;260;15;-0,00979709;0,00483001;-3,7184;0,000121645;***
15;evening_star;260;20;-0,00771257;0,00483465;-3,83535;7,78834e-005;***
15;evening_star;260;40;-0,0176224;0,00768248;-5,09963;3,18671e-007;***
15;evening_star;260;60;-0,0239219;0,00959399;-5,86789;6,37547e-009;***
20;hammer;30;5;-0,0113617;0,00151728;-9,33844;4,09084e-020;***
20;hammer;30;10;-0,0107153;0,00227972;-7,11357;1,1927e-012;***
20;hammer;30;15;-0,00870072;0,00264804;-6,36831;1,55601e-010;***
20;hammer;30;20;-0,00784045;0,00299116;-6,24188;3,39464e-010;***
20;hammer;30;40;0,00163023;0,00404592;-4,92475;5,06609e-007;***
20;hammer;30;60;0,0115524;0,00508251;-4,09684;2,29254e-005;***
20;hammer;60;5;-0,0104216;0,00129244;-10,2356;8,72804e-024;***
20;hammer;60;10;-0,00820788;0,00199385;-6,87591;5,32852e-012;***
20;hammer;60;15;-0,00430932;0,00231741;-5,38193;4,56094e-008;***
20;hammer;60;20;-0,00225752;0,00264649;-4,94523;4,43728e-007;***
20;hammer;60;40;0,00584333;0,00358594;-4,38157;6,49358e-006;***
20;hammer;60;60;0,012455;0,00454171;-4,38592;6,36762e-006;***
20;hammer;130;5;-0,0112273;0,00132329;-10,6058;2,49878e-025;***
20;hammer;130;10;-0,00838142;0,00202323;-6,86185;5,81928e-012;***
20;hammer;130;15;-0,00517287;0,0023507;-5,67308;9,07912e-009;***
20;hammer;130;20;-0,00389882;0,00268961;-5,47619;2,7226e-008;***
20;hammer;130;40;0,00442651;0,00350238;-4,89065;5,81648e-007;***
20;hammer;130;60;0,0104316;0,00452958;-4,84438;7,31217e-007;***
20;hammer;260;5;-0,0112266;0,00126483;-11,0955;1,54071e-027;***
20;hammer;260;10;-0,00680979;0,00252807;-4,8699;6,36835e-007;***
20;hammer;260;15;-0,00487008;0,00323729;-4,02587;3,02563e-005;***
20;hammer;260;20;-0,004743;0,00311577;-4,99812;3,34771e-007;***
20;hammer;260;40;0,00311801;0,00338977;-5,43913;3,27358e-008;***
20;hammer;260;60;0,0126444;0,00434517;-4,54072;3,10051e-006;***
20;piercing_lines;30;5;-0,00202052;0,00147052;-3,28305;0,000530479;***
20;piercing_lines;30;10;-0,000665951;0,00181375;-3,40048;0,000349064;***
20;piercing_lines;30;15;0,00319479;0,00232443;-2,13731;0,0164021;**
20;piercing_lines;30;20;0,00526636;0,00299111;-1,86006;0,031579;**
20;piercing_lines;30;40;0,012381;0,00451729;-2,03096;0,0212561;**
20;piercing_lines;30;60;0,022863;0,00538924;-1,76493;0,0389341;**
20;piercing_lines;60;5;-0,00296925;0,00134436;-4,29686;9,36894e-006;***
20;piercing_lines;60;10;-0,00189373;0,00172489;-4,28747;9,76767e-006;***
20;piercing_lines;60;15;0,0013502;0,00216402;-3,14814;0,000841996;***
20;piercing_lines;60;20;0,00378734;0,00272641;-2,58312;0,00495482;***
20;piercing_lines;60;40;0,0112031;0,00413498;-2,50358;0,00621378;***
20;piercing_lines;60;60;0,022414;0,00485053;-2,0535;0,0201212;**
20;piercing_lines;130;5;-0,00179994;0,00134431;-3,4272;0,000315003;***
20;piercing_lines;130;10;-0,00140952;0,0017289;-3,99745;3,39198e-005;***
20;piercing_lines;130;15;0,00270813;0,0022348;-2,4408;0,00739762;***
20;piercing_lines;130;20;0,00545624;0,00273511;-1,96473;0,0248353;**
20;piercing_lines;130;40;0,0133816;0,00411039;-1,98858;0,0234848;**
20;piercing_lines;130;60;0,0245493;0,00487934;-1,60376;0,0545123;*
20;piercing_lines;260;5;-0,0018123;0,00127726;-3,6168;0,000154796;***
20;piercing_lines;260;10;7,66868e-005;0,00167799;-3,23302;0,000627696;***
20;piercing_lines;260;15;0,00491459;0,00214252;-1,51608;0,0648696;*
20;piercing_lines;260;20;0,00678468;0,00242058;-1,67121;0,047459;**
20;piercing_lines;260;40;0,0133603;0,00351177;-2,33362;0,00988303;***
20;piercing_lines;260;60;0,0264429;0,00425024;-1,39563;0,0815316;*
20;rising_three;30;5;0,000774293;0,0241946;-0,0840269;0,467694; 
20;rising_three;30;10;0,00312907;0,0221658;-0,107038;0,458881; 
20;rising_three;30;15;-0,00218045;0,0188642;-0,548302;0,300263; 
20;rising_three;30;20;0,013836;0,018226;0,164927;0,436832; 
20;rising_three;30;40;0,0233763;0,0286074;0,0636498;0,475514; 
20;rising_three;30;60;0,0672812;0,0535249;0,652156;0,26756; 
20;rising_three;60;5;0,00553334;0,0176124;0,15478;0,439529; 
20;rising_three;60;10;-0,00103318;0,0150417;-0,434449;0,335074; 
20;rising_three;60;15;-0,00186681;0,0128923;-0,777953;0,224347; 
20;rising_three;60;20;0,0231718;0,0166153;0,742801;0,234538; 
20;rising_three;60;40;0,0654554;0,0331538;1,32413;0,102641; 
20;rising_three;60;60;0,113461;0,0383138;2,11638;0,0257217;**
20;rising_three;130;5;0,00157815;0,016313;-0,0753469;0,470409; 
20;rising_three;130;10;-0,00551166;0,0137964;-0,798277;0,21786; 
20;rising_three;130;15;-0,0113505;0,0132329;-1,47461;0,0792985;*
20;rising_three;130;20;-0,0127101;0,025284;-0,931027;0,182437; 
20;rising_three;130;40;0,0335183;0,0421908;0,283542;0,390093; 
20;rising_three;130;60;0,0542278;0,0469486;0,465471;0,323751; 
20;rising_three;260;5;-0,00832381;0,0128445;-0,866606;0,199904; 
